id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
1,american samoa,0.1644,0.0576,6,10,12,2,28,2.0985,2015,14,1.0493
2,antigua and barbuda,-0.8522,0.9107,7,8,8,1,6,0.2912,2010,6,0.2912
3,argentina,0.1073,-0.0945,21,16,79,64,553,47.6671,2015.1094,8.6406,0.7448
4,aruba,-0.0782,-0.4217,4,7,7,1,1,0.5081,2019,1,0.5081
5,australia,0.1048,-0.0117,6,41,456,293,5536,362.3716,2013.4027,18.8942,1.2368
6,austria,-0.5013,-0.259,9,6,6,3,5,0.5397,2017.3333,1.6667,0.1799
7,bangladesh,-0.3132,0.2856,1,3,4,4,47,3.8138,2011.5,11.75,0.9534
8,barbados,-0.8522,0.9112,7,8,8,1,6,0.2912,2010,6,0.2912
9,belgium,0.1495,-0.4221,5,21,76,38,765,39.0776,2013.2895,20.1316,1.0284
10,belize,-0.543,-0.2148,9,3,3,1,4,0.3578,2016,4,0.3578
11,benin,0.4332,-0.3566,3,3,3,1,4,0.213,2013,4,0.213
12,brazil,0.1494,-0.2471,5,38,192,147,2012,116.5659,2013.6803,13.6871,0.793
13,canada,-0.1712,-0.2062,8,41,540,430,9191,414.4249,2010.9512,21.3744,0.9638
14,cape verde,-0.096,-0.3353,4,8,13,3,24,1.4133,2013,8,0.4711
15,chad,-0.2209,0.0481,8,3,3,1,24,0.6563,2007,24,0.6563
16,chile,0.2079,-0.1154,10,36,193,76,1139,70.7795,2014.7763,14.9868,0.9313
17,china,-0.1621,0.1458,1,8,15,21,211,17.7565,2014.5238,10.0476,0.8455
18,colombia,0.251,-0.1648,10,23,80,21,278,13.4582,2012.6667,13.2381,0.6409
19,conservation and policy,-0.0897,-0.0548,1,7,7,1,2,1.0162,2019,2,1.0162
20,cook islands,0.2574,0.0461,6,19,117,24,467,25.9308,2013.8333,19.4583,1.0805
21,costa rica,0.2547,-0.2514,10,13,17,7,243,9.376,2010.4286,34.7143,1.3394
22,croatia,-0.5177,-0.2584,9,3,4,5,51,1.6215,2009.4,10.2,0.3243
23,czech republic,-0.0642,-0.2957,4,4,5,2,23,2.2883,2016.5,11.5,1.1442
